(-0.00014,0)
(0,0)
(-6.84804e-06,0.000168662)
(0,0)
(-7.66264e-05,-0.000101432)
(0,0)
(-8.40541e-05,-2.0915e-07)
(0,0)
(0.000115281,0.000139599)
(0,0)
(-8.49382e-05,-4.77884e-05)
(0,0)
(-9.41358e-06,-0.000253712)
(0,0)
(1.02324e-05,-8.05934e-05)
(0,0)
(-0.000153163,5.80583e-05)
(0,0)
(0.000105526,-3.23903e-06)
(0,0)
(3.28418e-05,2.08864e-05)
(0,0)
(-2.75139e-05,1.13632e-05)
(0,0)
(1.50915e-05,-8.42012e-05)
(0,0)
(1.03991e-05,-3.12268e-05)
(0,0)
(5.19531e-05,-2.94039e-05)
(0,0)
(0.000121733,6.79243e-06)
(0,0)
(-2.29971e-05,0.000118239)
(0,0)
(0.00014738,7.15534e-05)
(0,0)
(1.07771e-05,5.80191e-05)
(0,0)
(1.75536e-05,9.28641e-05)
(0,0)
(9.79378e-05,9.58896e-05)
(0,0)
(9.71012e-08,-7.69633e-05)
(0,0)
(7.11512e-05,0.000111787)
(0,0)
(-2.74143e-05,-5.67222e-06)
(0,0)
(7.68489e-05,0.00010726)
(0,0)
(0.000156879,-6.88205e-05)
(0,0)
(-8.42001e-05,-6.625e-05)
(0,0)
(2.76737e-05,-0.000206448)
(0,0)
(-2.40007e-05,0.000114533)
(0,0)
(7.29726e-05,8.07992e-05)
(0,0)
(8.8092e-05,7.07804e-05)
(0,0)
(-0.000151487,-3.2654e-05)
(0,0)
(3.6598e-05,9.64206e-05)
(0,0)
(1.7307e-05,-0.000201597)
(0,0)
(1.91834e-05,7.9495e-05)
(0,0)
(3.98571e-05,-1.05996e-05)
(0,0)
(-5.57086e-06,-4.34753e-05)
(0,0)
(0.000227755,-0.000110458)
(0,0)
(9.01267e-05,-8.53014e-05)
(0,0)
(-2.01866e-05,0.000111638)
(0,0)
(-8.53055e-06,3.93977e-05)
(0,0)
(-5.09265e-05,6.24012e-05)
(0,0)
(0.000168058,-0.000244553)
(0,0)
(-1.7554e-05,9.23058e-05)
(0,0)
(4.50739e-05,-9.01558e-05)
(0,0)
(5.7355e-05,-5.69242e-05)
(0,0)
(-3.26856e-05,6.81117e-05)
(0,0)
(-0.000128038,-8.8042e-05)
(0,0)
(-0.00010537,4.6641e-05)
(0,0)
(-7.16038e-05,3.96617e-05)
(0,0)
(1024,0.000105815)
(0,0)
(2.55772e-05,-4.10519e-05)
(0,0)
(-0.00011188,3.56675e-05)
(0,0)
(9.04666e-05,2.27894e-05)
(0,0)
(0.000151993,9.7531e-05)
(0,0)
(5.42277e-05,0.000111162)
(0,0)
(0.000131385,-0.00017476)
(0,0)
(-6.12208e-06,6.70775e-06)
(0,0)
(-0.000173934,2.98421e-05)
(0,0)
(-3.58361e-05,-1.44461e-05)
(0,0)
(-0.000148541,-2048)
(0,0)
(-4.90325e-05,-1.26133e-05)
(0,0)
(6.33115e-05,5.64025e-05)
(0,0)
(6.30562e-05,8.01335e-06)
(0,0)
(2.24264e-05,-0.000142426)
(0,0)
(8.14642e-05,5.20097e-05)
(0,0)
(-0.00014303,-9.07885e-05)
(0,0)
(0.000110086,-1.53275e-06)
(0,0)
(6.9762e-05,9.82568e-05)
(0,0)
(-4.31177e-05,-2.36813e-05)
(0,0)
(6.02467e-05,-0.00014258)
(0,0)
(1.96001e-05,-0.000171424)
(0,0)
(1.17669e-05,3.64686e-05)
(0,0)
(-4.15691e-06,0.000204248)
(0,0)
(2.47675e-05,-4.67793e-05)
(0,0)
(-5.26559e-05,1.92932e-05)
(0,0)
(8.72321e-05,6.7027e-05)
(0,0)
(3.23915e-05,-4.09961e-05)
(0,0)
(-4.22108e-05,1.751e-05)
(0,0)
(-0.000165336,0.00026912)
(0,0)
(7.51207e-05,4.00456e-05)
(0,0)
(3.64308e-05,2.20565e-05)
(0,0)
(3.67506e-06,2.43421e-07)
(0,0)
