(0,0)
(-2.23441e-06,2.04131e-11)
(-4.44089e-16,-1.82712e-06)
(-5.05641e-05,4.08245e-11)
(-1.02069e-16,-2e-05)
(64,-5.91998e-10)
(2.04142e-11,-2.19444e-05)
(1.82497e-05,4.08262e-11)
(-4.33832e-27,-8.50082e-16)
(-2.56048e-05,2.04145e-11)
(-1.1754e-15,-2.40723e-05)
(7.64265e-06,1.22477e-10)
(1.02069e-16,2e-05)
(1.45593e-05,6.12365e-11)
(6.12443e-11,-1.23031e-05)
(5.31389e-05,4.08261e-11)
(4.53277e-27,8.88178e-16)
(-1.47638e-05,2.04129e-11)
(-5.71354e-16,9.93494e-06)
(-3.35443e-05,4.08278e-11)
(-1.02069e-16,-2e-05)
(-2.42736e-05,6.12379e-11)
(2.04176e-11,3.76601e-05)
(4.26998e-05,4.08262e-11)
(-5.2772e-27,-4.05992e-16)
(-2.83303e-05,2.04139e-11)
(-9.67318e-16,2.3523e-05)
(-1.3079e-05,2.85795e-10)
(1.02069e-16,2e-05)
(2.68424e-05,6.12403e-11)
(-5.10343e-10,-32)
(3.74523e-05,4.08264e-11)
(0,0)
(3.74523e-05,2.0413e-11)
(1.63306e-10,32)
(2.68423e-05,4.08275e-11)
(-1.02069e-16,-2e-05)
(-1.3079e-05,6.12461e-11)
(2.0411e-11,-2.3523e-05)
(-2.83303e-05,4.08265e-11)
(2.07196e-27,4.05992e-16)
(4.26998e-05,2.04132e-11)
(6.23357e-16,-3.76601e-05)
(-2.42738e-05,1.22487e-10)
(1.02069e-16,2e-05)
(-3.35444e-05,6.12423e-11)
(6.12391e-11,-9.93499e-06)
(-1.47638e-05,4.08262e-11)
(-4.53277e-27,-8.88178e-16)
(5.31389e-05,2.04135e-11)
(5.71354e-16,1.23032e-05)
(1.4559e-05,4.08295e-11)
(-1.02069e-16,-2e-05)
(7.64242e-06,6.12401e-11)
(2.04146e-11,2.40722e-05)
(-2.5605e-05,4.08271e-11)
(7.54356e-27,8.50082e-16)
(1.82495e-05,2.04135e-11)
(-2.56993e-16,2.19444e-05)
(64,-1.02068e-09)
(1.02069e-16,2e-05)
(-5.05641e-05,6.12476e-11)
(1.42898e-10,1.82713e-06)
(-2.23428e-06,4.08269e-11)
